index,year,name,default,alive,dateOfBirth,dateOfEnd,old,ageSummary,ageValue,ageOtherInfo,young,gender,nation,glass,zodiac,educationGeneral,educationDegree,educationGeneral_U1,educationGeneral_A1,educationGeneral_U2,educationGeneral_A2,educationGeneral_U3,educationGeneral_A3,educationAbroad,educationAbroad_img,educationAbroad_O,educationAbroad_U1,educationAbroad_A1,educationAbroad_U2,educationAbroad_A2,educationAbroad_U3,educationAbroad_A3,otherCareer,otherCareer_O1,otherCareer_role1_r,otherCareer_role1_b,otherCareer_role1_g,otherCareer_O2,otherCareer_role2_r,otherCareer_role2_b,teach,travel,travel_O1,travel_location1,travel_O2,travel_works,travel_O3,travel_figures,travel_O4,travel_location2,travel_O5,work,age,corbu,esTime,thingsDone_studied,thingsDone_worked,thingsDone_traveled,thingsDone_taught,thingsDone_O1,wonTime
41,1988,Gordon Bunshaft,1988_1,0,5/9/1909,8/6/1990,81_Gordon_Bunshaft_1988,he passed away at the age of,81,,1988_1,Male,United States,eye,Sagittarius,Y,M.Arch,Massachusetts Institute of Technology,"(Cambridge, United States, graduated in 1933, 1935)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,N,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1988_1,Y,1988_1,,,,,"never established his own firm or studio,  but joined SOM (1939-1942,  1946-1979) , U.S. Army Corps of Engineers (1942 -1946)",48
42,1988,Oscar Niemeyer,1988_2,0,12/15/1907,12/5/2012,104_Oscar_Niemeyer_1988,he passed away at the age of,104,,1988_2,Male,Brazil,eye,Taurus,Y,B.Arch,University of Brazil,"(Federal University of Rio de Janeiro, Rio, Brazil, graduated in 1934)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1988_2,Y,1988_2,,"worked,",,,"before opened his office in Paris after 1964, but began his first practice, Pampulha Architectural Complex, in 1940.",51
43,1987,Kenzo Tange,1987,0,9/4/1913,3/22/2005,91_Kenzo_Tange_1987,he passed away at the age of,91,,1987,Male,Japan,eye,Virgo,Y,MUP,University of Tokyo,"(Tokyo, Japan, 1935)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1987,Y,11,,,,"taught,",before established his own practice.,41
44,1986,Gottfried Bohm,1986,0,1/23/1920,6/9/2021,101_Gottfried_Bohm_1986,he passed away at the age of,101,,1986,Male,Germany,glass,Aquarius,N,B.E.,Technical University of Munich,"(Munich, Germany)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,Y,had studied and traveled in,"the United States,",and met,,,"Mies van der Rohe and Walter Groplus,",the architects he admired.,,,N,1986,NA,9,"studied,","worked,",,,before he took over the family firm in 1955.,31
45,1985,Hans Hollein,1985,0,3/30/1934,4/24/2014,80_Hans_Hollein_1985,he passed away at the age of,80,,1985,Male,Austria,eye,Aries,Y,M.Arch,Academy of Fine Arts Vienna,"(Vienna, Austria, graduated in 1956)",  ->  Illinois Institute of Technology,"(Chicago, United State)","  ->  University of California, Berkeley","(Berkeley, United States, graduated in 1960)",Y,austriaToUs,,Illinois Institute of Technology,"(Chicago, United State)","  ->  University of California, Berkeley","(Berkeley, United States, graduated in 1960)",,,NA,didn't mention about other career in the biography.,,,,,,,Y,Y,had studied and traveled in,"the United States,",and met,,,"Mies van der Rohe, Frank Lloyd Wright and Richard Neutra,",the architects he admired.,,,N,1985,NA,9,"studied,","worked,","traveled,",,before established his own practice.,20
46,1984,Richard Meier,1984,1,10/12/1934,8/11/2023,88,he is at the age of,88,,1984,Male,United States,glass,Libra,Y,B.Arch,Cornell University ,"(Itchaca, United States, graduated in 1957)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,N,Y,had traveled through,Europe,and,,,networked with other architects,after graduted from college.,,,N,1984,Y,6,,"worked,","traveled,",,before established his own practice.,21
47,1983,Ieoh Ming Pei,1983,0,4/26/1917,5/16/2019,102_Ieoh_Ming_Pei_1983,he passed away at the age of,102,,1983,Male,United States (China),glass,Taurus,Y,M.Arch,University of Pennsylvania,"(Philadelphia, United States)",  ->  Massachusetts Institute of Technology,"(Cambridge, United States) ",  ->  Harvard University,"(GSD, Cambridge, United States, graduated in 1946)",Y,ChinaToUS,,University of Pennsylvania,"(Philadelphia, United States)",  ->  Massachusetts Institute of Technology,"(Cambridge, United States) ",  ->  Harvard University,"(GSD, Cambridge, United States, graduated in 1946)",NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1983,Y,15,"studied,","worked,",,"taught,",before established his own practice.,28
48,1982,Kevin Roche,1982,0,6/14/1922,3/1/2019,96_Kevin_Roche_1982,he passed away at the age of,96,,1982,Male,United States (Ireland),eye,Gemini,Y,B.Arch,University College Dublin,"(Dublin, Ireland, graduated in 1945)",  ->  Illinois Institute of Technology,"(Chicago, United States, 1948, left after only one semester)",,,Y,IrelandToUS,,Illinois Institute of Technology,"(Chicago, United States, 1948, left after only one semester)",,,,,NA,didn't mention about other career in the biography.,,,,,,,N,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1982,NA,21,"studied,","worked,",,,before established his own practice.,16
49,1981,James Stirling,1981,0,4/26/1926,6/25/1992,66_James_Stirling_1981,he passed away at the age of,66,,1981,Male,United Kingdom,eye,Taurus,Y,B.Arch,University of Liverpool,"(Liverpool, United Kingdom, 1945 - 1950)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1981,NA,5,,"worked,",,,before established his own practice.,26
50,1980,Luis Barragan,1980,0,3/9/1902,11/22/1988,86_Luis_Barragan_1980,he passed away at the age of,86,,1980,Male,Mexico,glass,Pisces,N,B.E.,Luis Barragan is a self-taught architect.,,,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had trained in,engineering.,,,,,,N,Y,had traveled extansively in,"France and Spain,",and attended,,,Le Corbusier's,lecture while lived in Paris. Later in ,"Morroco,",he got interested in its native architecture.,N,1980,Y,1980,,,"traveled,",,before established his own practice (without formal training as an architect).,53
51,1979,Philip Johnson,1979,0,7/8/1906,1/25/2005,98_Philip_Johnson_1979,he passed away at the age of,98,,1979,Male,United States,glass,Cancer,Y,B.Arch,Harvard University,"(GSD, Cambridge, United States, 1941)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had been,,"a museum director, ",,and briefly into ,,journalism and politics.,N,Y,had traveled through, Europe ,"after graduated in 1927, during which met",,, Mies van der Rohe.,,,,N,1979,NA,-2,,,,,"started his own practice two years before graduation, and opened his own firm in 1967.",38
